year,1,2,3,4,5
2016,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.23529411764705882
2017,0.3,0.2,0.1,0.1,0.3
2018,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0
2019,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427
2020,0.24242424242424243,0.24242424242424243,0.18181818181818182,0.09090909090909091,0.24242424242424243
2021,0.2222222222222222,0.19444444444444445,0.1388888888888889,0.25,0.19444444444444445
2022,0.21212121212121213,0.09090909090909091,0.18181818181818182,0.24242424242424243,0.2727272727272727
2023,0.25,0.23863636363636365,0.14772727272727273,0.20454545454545456,0.1590909090909091
2024,0.2905982905982906,0.19658119658119658,0.1623931623931624,0.15384615384615385,0.19658119658119658
2025,0.20930232558139536,0.20155038759689922,0.18604651162790697,0.17829457364341086,0.2248062015503876
2026,1.0,0.0,0.0,0.0,0.0
