id,Label,structured_text
299,1,title: tabled clp for reasoning over stream data. [SEP] venue: iclp [SEP] year: 2016 [SEP] doi publisher: 10.1109 [SEP] doi source: icsc
92,5,title: xai-law: a logic programming tool for modeling explaining and learning legal decisions. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
311,1,title: workshop proceedings of the 40th international conference on logic programming iclp-ws 2024 co-located with the 40th international conference on logic programming iclp 2024 dallas tx usa october 12th and 13th 2024. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.1007 [SEP] doi source: none
136,5,title: probabilistic active goal recognition. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
41,1,title: heuristic strategies for accelerating multi-agent epistemic planning. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
235,3,title: succinctness and complexity of alc with counting perceptrons. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
518,2,title: action languages and covid-19: lessons learned. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.1515 [SEP] doi source: none
403,4,title: flexible lifelong explainable and robust solutions for multi-agent path finding problems. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.1609 [SEP] doi source: aaai
569,1,title: planning domain model acquisition from state traces without action parameters. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
342,1,title: chrvis: syntax and semantics. [SEP] venue: iclp [SEP] year: 2018 [SEP] doi publisher: 10.1016 [SEP] doi source: s
510,5,title: exploring neurosymbolic systems in answer set programming with an application to waste water monitoring. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.5220 [SEP] doi source: none
451,4,title: on simple expectations and observations of intelligent agents: a complexity study. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
29,1,title: proceedings 38th international conference on logic programming iclp 2022 technical communications / doctoral consortium haifa israel 31st july 2022 - 6th august 2022. [SEP] venue: iclp [SEP] year: 2022 [SEP] doi publisher: 10.1007 [SEP] doi source: none
134,1,title: testing of concurrent programs. [SEP] venue: iclp [SEP] year: 2016 [SEP] doi publisher: 10.14711 [SEP] doi source: thesis
321,3,title: determining action reversibility in strips using answer set programming. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.1017 [SEP] doi source: s
171,5,title: domain-independent instance generation for classical planning. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
357,4,title: on teaching constraint-based modeling and algorithms for decision support in prolog. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.1016 [SEP] doi source: s
13,4,title: relational graph convolutional networks do not learn sound rules. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
417,4,title: on the correspondence between monotonic max-sum gnns and datalog. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
404,3,title: contracted temporal equilibrium logic. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
481,3,title: improving candidate quality of probabilistic logic models. [SEP] venue: iclp [SEP] year: 2018 [SEP] doi publisher: 10.1108 [SEP] doi source: k
74,5,title: extracting policies from quantified answer set programs. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
361,3,title: on combining collective entity resolution and repairing extended abstract . [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: ijcai
409,5,title: navigating and querying answer sets: how hard is it really and why [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
56,2,title: explanations for unrealizability of infinite-state safety shields. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
203,1,title: emerson-lei and manna-pnueli games for ltlf+ and ppltl+ synthesis. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
103,1,title: commonsense reasoning-aided autonomous vehicle systems. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
448,3,title: precise exponential-time complexity of non-monotonic reasoning. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.7551 [SEP] doi source: mitpress
269,2,title: semantically guided scene generation via contextual reasoning and algebraic measures. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.1109 [SEP] doi source: tits
3,1,title: cumulative scoring-based induction of default theories. [SEP] venue: iclp [SEP] year: 2018 [SEP] doi publisher: 10.1002 [SEP] doi source: eng
424,5,title: theory revision with goal-directed asp. [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.1017 [SEP] doi source: cbo
263,4,title: lazy stream programming in prolog. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
320,5,title: asp chef: draw and expand. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
172,4,title: product configuration in answer set programming. [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
579,2,title: an implementation of a non-monotonic logic in an embedded computer for a motor-glider. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
493,3,title: aspmc: an algebraic answer set counter. [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.1016 [SEP] doi source: j
326,4,title: a category-theoretic perspective on approximation fixpoint theory. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
543,1,title: dialectical reconciliation via structured argumentative dialogues. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
582,4,title: exploring digital twins integration with asp and asp chef. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4000 [SEP] doi source: c
552,4,title: reasoning with restricted statistical statements in probabilistic answer set programming: complexity and algorithms. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
512,1,title: fixpoint characterizations of disjunctive hybrid mknf knowledge bases. [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
48,5,title: natural language generation for non-expert users. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
376,2,title: treewidth in non-ground answer set solving and alliance problems in graphs. [SEP] venue: iclp [SEP] year: 2017 [SEP] doi publisher: 10.1613 [SEP] doi source: jair
590,1,title: proceedings of the 21st international conference on principles of knowledge representation and reasoning kr 2024 hanoi vietnam. november 2-8 2024. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
523,3,title: knowledge authoring with factual english. [SEP] venue: iclp [SEP] year: 2022 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
426,5,title: explaining image classifiers. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
212,5,title: entity set expansion from the web via asp. [SEP] venue: iclp [SEP] year: 2017 [SEP] doi publisher: 10.5220 [SEP] doi source: none
317,4,title: encoding choice logics in asp. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.1007 [SEP] doi source: none
390,1,title: front matter table of contents preface conference organization. [SEP] venue: iclp [SEP] year: 2018 [SEP] doi publisher: 10.1484 [SEP] doi source: m
502,2,title: generalizing platform-aware mission planning for infinite-state timed transition systems. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
479,5,title: bridging logic programming and deep learning for explainability through ilasp. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
308,2,title: total preorders vs ranking functions under belief revision - the dynamics of empty layers. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
359,3,title: asp chef creates surveys. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.1002 [SEP] doi source: fsat
296,4,title: answer set programming with epistemic defaults. [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.1017 [SEP] doi source: cbo
28,5,title: dynamic multi-agent path finding based on conflict resolution using answer set programming. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
243,4,title: causally constrained counterfactual generation using asp. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
141,4,title: group responsibility for exceeding risk threshold. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
15,3,title: a new proof-theoretical linear semantics for chr. [SEP] venue: iclp [SEP] year: 2018 [SEP] doi publisher: 10.1016 [SEP] doi source: none
84,2,title: legal compliance checking of autonomous driving with formalized traffic rule exceptions. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.1109 [SEP] doi source: tse
396,5,title: assumable answer set programming. [SEP] venue: iclp [SEP] year: 2022 [SEP] doi publisher: 10.1017 [SEP] doi source: cbo
232,2,title: induction of non-monotonic logic programs to explain statistical learning models. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
586,5,title: the simple generative logic grammar: a tool for teaching logical thinking through visual research in art and design. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.23943 [SEP] doi source: princeton
192,5,title: tools and methodologies for verifying answer set programs. [SEP] venue: iclp [SEP] year: 2022 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
265,1,title: lad-based feature selection for optimal decision trees and other classifiers. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
268,1,title: international conference on logic programming 2020 workshop proceedings co-located with 36th international conference on logic programming iclp 2020 rende italy september 18-19 2020. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.1017 [SEP] doi source: s
291,5,title: automata techniques for temporal answer set programming. [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
173,5,title: quot would life be more interesting if i were in ai quot answering counterfactuals based on probabilistic inductive logic programming. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
96,3,title: an experiment with llm in contract extraction. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.1088 [SEP] doi source: ae
556,1,title: determining action reversibility in strips using epistemic logic programs. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.1017 [SEP] doi source: s
195,1,title: proceedings of the international conference on logic programming 2023 workshops co-located with the 39th international conference on logic programming iclp 2023 london united kingdom july 9th and 10th 2023. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.1007 [SEP] doi source: none
230,1,title: run-based semantics for rpqs. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
588,4,title: a temporal module for logical frameworks. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
166,4,title: how to split a logic program. [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
225,4,title: ltl model checking using coinductive answer set programming. [SEP] venue: iclp [SEP] year: 2022 [SEP] doi publisher: 10.1109 [SEP] doi source: apsec
384,2,title: a dataflow analysis for comparing and reordering predicate arguments. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
53,2,title: do repeat yourself: understanding sufficient conditions for restricted chase non-termination. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
532,3,title: reasoning about medical triage optimization with logic programming. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
345,1,title: investigating the grounding bottleneck for a large-scale configuration problem: existing tools and constraint-aware guessing. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
318,1,title: solving unification in the description logic fl bottom. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.25368 [SEP] doi source: none
54,2,title: a comparative study of text representations for french real-estate classified advertisements information extraction. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.1109 [SEP] doi source: kse
322,3,title: contestable ai needs computational argumentation. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
187,4,title: description logics with abstraction and refinement: from alc to el. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
52,4,title: sampling and probabilistic inference in d/slps. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.1093 [SEP] doi source: oso
401,3,title: distributed answer set coloring: stable models computation via graph coloring. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
97,1,title: counting solutions under cardinality constraints: structure counts in counting. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
252,4,title: google vs ibm: a constraint solving challenge on the job-shop scheduling problem. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
128,3,title: an analysis of the role of syntax in inductive inference. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
435,1,title: ce-qarg: counterfactual explanations for quantitative bipolar argumentation frameworks. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
