Label,term,mean_tfidf
1,word__semantics,0.020879839482508808
1,char__ion,0.019532817889097963
1,word__conference,0.01926003487876954
1,char__ing,0.019090432872872744
1,word__based,0.018744106788276718
1,char__tion,0.01850540857309491
1,char__tio,0.018462680682256885
1,char__ng ,0.017719468664181642
1,char__on ,0.017333624195505538
1,char__ing ,0.01698217630163698
1,char__ co,0.016626979555903094
1,word__logic programming,0.01654015728132924
2,word__logic,0.0302506463330886
2,char__tio,0.021240455252040043
2,char__ion,0.02105413707776108
2,char__tion,0.02098119368846738
2,word__reasoning,0.019270902665884816
2,char__ing,0.018473296712386327
2,char__ati,0.01838490582106034
2,char__on ,0.017864236445019242
2,char__ing ,0.01768817918086436
2,char__ co,0.017665901635652893
2,char__ng ,0.017531105172557442
2,char__s. ,0.01715364791292089
3,word__logic,0.0355982424064773
3,word__probabilistic,0.022526868278676195
3,char__ing,0.020160619067826572
3,word__asp,0.019857867992633525
3,char__log,0.019143241958015304
3,word__reasoning,0.019136202389959507
3,word__programming,0.018702993137848917
3,char__ic ,0.018592199570058955
3,char__ pr,0.01832017140914222
3,char__ng ,0.018283533061721716
3,char__ing ,0.01817087107331538
3,char__tion,0.017919525595917852
4,word__programming,0.03571473110509851
4,word__answer set,0.03027176717989396
4,word__answer,0.03011764677953812
4,word__set,0.02996591593923847
4,word__set programming,0.026886149208188603
4,word__asp,0.0255465924732628
4,char__ing,0.024750898553895652
4,word__logic,0.02409356935673553
4,char__pro,0.022735240122433237
4,char__ pr,0.022625950065606634
4,char__ pro,0.022371308151942368
4,char__ng ,0.02081536726528992
5,word__set,0.05571860021061725
5,word__answer,0.0544245205994622
5,word__answer set,0.053222824219363744
5,word__programming,0.05206999792818308
5,word__set programming,0.04725336912585692
5,char__ing,0.03084036827169985
5,word__logic,0.02650010503768199
5,char__pro,0.025896991585771377
5,char__ pro,0.025138337304812127
5,char__gram,0.024780652155060954
5,char__rogra,0.024690833048161703
5,char__ogram,0.024690833048161703
