id,title,venue,year,doi,final_label,label_s8,label_s2,label_s9,label_abs,review_status,locked_do_not_change,needs_review,reason
17,asymptoticplp: Approximating probabilistic logic programs on large domains.,iclp,2023,10.1017/s1471068425100161,2,2,4,4,4,locked_directly_validated,True,False,direct_ablation: reverting 4->2 improved score
26,Research Report on Automatic Synthesis of Local Search Neighborhood Operators.,iclp,2019,10.4204/eptcs.306.59,5,1,5,1,5,locked_directly_validated,True,False,direct_leaderboard_inference: keep id26=5 after id17/id260 errors were isolated
260,A Semantics For Probabilistic Answer Set Programs With Incomplete Stochastic Knowledge.,iclp,2022,10.1201/9781003427421-6,5,5,4,4,4,locked_directly_validated,True,False,direct_ablation: reverting 4->5 improved score strongly
255,Reasoning in Highly Reactive Environments.,iclp,2019,10.4204/eptcs.306.57,3,4,3,2,2,locked_user_verified,True,False,user_verified: id 255 label 3 confirmed; keep label 3.
7,"Integrating SMT solvers into Goal-Directed Answer Set Programming, Challenges and Directions.",iclp,2024,10.1017/s1471068414000118,5,5,5,5,5,locked_user_verified_duplicate_doi,True,False,user_verified_duplicate_doi_group: DOI 10.1017/s1471068414000118 manually verified; keep label 5.
21,Unmanned Aerial Vehicle Compliance Checking using Goal-Directed Answer Set Programming.,iclp,2022,10.1017/s1471068414000118,5,5,5,5,5,locked_user_verified_duplicate_doi,True,False,user_verified_duplicate_doi_group: DOI 10.1017/s1471068414000118 manually verified; keep label 5.
242,Solving B Constraints with Goal-directed Answer Set Programming.,iclp,2021,10.1017/s1471068414000118,5,5,5,5,5,locked_user_verified_duplicate_doi,True,False,user_verified_duplicate_doi_group: DOI 10.1017/s1471068414000118 manually verified; keep label 5.
2,Finite Axiomatizability by Disjunctive Existential Rules.,kr,2025,10.24963/kr.2025/20,1,1,1,1,5,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
22,Past-present temporal programs over finite traces: a preliminary report.,iclp,2023,10.1007/978-3-031-43619-2_53,3,3,3,1,1,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
35,On the Suitability of Inconsistency Measures.,kr,2023,10.5220/0005824305320539,2,2,2,2,2,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
63,An Embarrassingly Parallel Model Counter.,kr,2025,10.24963/kr.2025/65,1,1,1,1,4,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
88,Knowledge-Driven Robot Program Synthesis from Human VR Demonstrations.,kr,2023,10.24963/kr.2023/4,2,2,1,2,2,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
101,Formal Aspects of Strategic Reasoning.,kr,2024,10.4324/9780203503881-7,5,5,5,5,3,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
124,An ASP-Based Framework for MUSes.,iclp,2025,10.4204/eptcs.439.3,4,4,4,4,5,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
126,Extended Abstract: Early Validation of High-level System Requirements with Event Calculus and Answer Set Programming.,iclp,2024,10.1017/s1471068424000280,4,4,4,4,4,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
129,Explainability Through Argumentation in Logic Programming.,iclp,2021,10.1016/s0743-1066(00)00004-2,3,3,3,3,4,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
