doi,start_url,final_url,final_domain,http_status,redirect_count,abstract_found,abstract,extract_method,status,error
10.1016/s0167-9236(01)00138-5,https://doi.org/10.1016/s0167-9236(01)00138-5,https://linkinghub.elsevier.com/retrieve/pii/S0167923601001385,linkinghub.elsevier.com,200.0,1.0,False,,,redirect_ok_abstract_not_found,
10.1108/k.2000.06729iae.003,https://doi.org/10.1108/k.2000.06729iae.003,https://www.emerald.com/k/article/264072,www.emerald.com,403.0,2.0,False,,,http_error,
10.4204/eptcs.439.16,https://doi.org/10.4204/eptcs.439.16,https://arxiv.org/abs/2601.03835v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2601.03835v1: Extracting Policies from Quantified Answer Set Programs,meta:name=description,abstract_found,
10.4204/eptcs.416.36,https://doi.org/10.4204/eptcs.416.36,https://arxiv.org/abs/2502.09233v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2502.09233v1: Commonsense Reasoning-Aided Autonomous Vehicle Systems,meta:name=description,abstract_found,
10.7551/mitpress/4307.003.0022,https://doi.org/10.7551/mitpress/4307.003.0022,https://direct.mit.edu/books/book/4498/chapter/192337/Recent-Complexity-Results-in-Logic-Programming-and,direct.mit.edu,403.0,1.0,False,,,http_error,
10.1109/tits.2024.3510515/mm1,https://doi.org/10.1109/tits.2024.3510515/mm1,https://ieeexplore.ieee.org/document/10829529/,ieeexplore.ieee.org,200.0,3.0,True,"Generating adversarial scenes that potentially fail autonomous driving systems provides an effective way to improve their robustness. Extending purely data-driven generative models, recent specialized models satisfy additional controllable requirements such as embedding a traffic sign in a driving scene by manipulating patterns implicitly at the neuron level. In this paper, we introduce a method to incorporate domain knowledge explicitly in the generation process to achieve Semantically Adversarial Generation (SAG). To be consistent with the composition of driving scenes, we first categorize the knowledge into two types, the property of objects and the relationship among objects. We then propose a tree-structured variational auto-encoder (T-VAE) to learn hierarchical scene representation. By imposing semantic rules on the properties of nodes and edges into the tree structure, explicit knowledge integration enables controllable generation. To demonstrate the advantage of structural representation, we construct a synthetic example to illustrate the controllability and explainability of our method in a succinct setting. We further extend to realistic environments for autonomous vehicles, showing that our method efficiently identifies adversarial driving scenes against different state-of-the-art 3D point cloud segmentation models and satisfies the constraints specified as explicit knowledge.",meta:property=og:description,abstract_found,
10.1002/eng2.70433/v1/review2,https://doi.org/10.1002/eng2.70433/v1/review2,https://www.webofscience.com/wos/woscc/full-record/10.1002%2FENG2.70433?type=doi&SID=USW2EC0A4EyHSWyoPBBULIex0NrWj,www.webofscience.com,200.0,8.0,False,,,redirect_ok_abstract_not_found,
10.1017/cbo9781107257115.023,https://doi.org/10.1017/cbo9781107257115.023,https://www.cambridge.org/core/books/abs/perioperative-hemodynamic-monitoring-and-goal-directed-therapy/goal-directed-hemodynamic-optimization/FC809485DE4171F6C1335AB888656468,www.cambridge.org,200.0,3.0,False,,,redirect_ok_abstract_not_found,
10.4204/eptcs.306.26,https://doi.org/10.4204/eptcs.306.26,https://arxiv.org/abs/1907.11354v2,arxiv.org,200.0,2.0,True,"In recent years, stream processing has become a prominent approach for incrementally handling large amounts of data, with special support and libraries in many programming languages....",meta:name=twitter:description,abstract_found,
10.4204/eptcs.345.46,https://doi.org/10.4204/eptcs.345.46,https://arxiv.org/abs/2109.08304v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2109.08304v1: Product Configuration in Answer Set Programming,meta:name=description,abstract_found,
10.4204/eptcs.306.37,https://doi.org/10.4204/eptcs.306.37,https://arxiv.org/abs/1907.13305v2,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 1907.13305v2: An Implementation of a Non-monotonic Logic in an Embedded Computer for a Motor-glider,meta:name=description,abstract_found,
10.1016/j.artint.2024.104109,https://doi.org/10.1016/j.artint.2024.104109,https://linkinghub.elsevier.com/retrieve/pii/S0004370224000456,linkinghub.elsevier.com,200.0,1.0,False,,,redirect_ok_abstract_not_found,
10.4204/eptcs.416.37,https://doi.org/10.4204/eptcs.416.37,https://arxiv.org/abs/2502.09234v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2502.09234v1: A Category-Theoretic Perspective on Approximation Fixpoint Theory,meta:name=description,abstract_found,
10.4000/15c2h,https://doi.org/10.4000/15c2h,https://journals.openedition.org/asp/10090,journals.openedition.org,200.0,1.0,False,,,redirect_ok_abstract_not_found,
10.4204/eptcs.364.6,https://doi.org/10.4204/eptcs.364.6,https://arxiv.org/abs/2208.03087v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2208.03087v1: A Fixpoint Characterization of Three-Valued Disjunctive Hybrid MKNF Knowledge Bases,meta:name=description,abstract_found,
10.4204/eptcs.306.33,https://doi.org/10.4204/eptcs.306.33,https://arxiv.org/abs/1909.08250v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 1909.08250v1: Natural Language Generation for Non-Expert Users,meta:name=description,abstract_found,
10.1613/jair.1.11515,https://doi.org/10.1613/jair.1.11515,https://jair.org/index.php/jair/article/view/11515,jair.org,200.0,2.0,True,"In this paper, we aim to study how the performance of modern answer set programming (ASP) solvers is influenced by the treewidth of the input program and to investigate the consequences of this relationship. We first perform an experimental evaluation that shows that the solving performance is heavily influenced by treewidth, given ground input programs that are otherwise uniform, both in size and construction. This observation leads to an important question for ASP, namely, how to design encodings such that the treewidth of the resulting ground program remains small. To this end, we study two classes of disjunctive programs, namely guarded and connection-guarded programs. In order to investigate these classes, we formalize the grounding process using MSO transductions. Our main results show that both classes guarantee that the treewidth of the program after grounding only depends on the treewidth (and the maximum degree, in case of connection-guarded programs) of the input instance. In terms of parameterized complexity, our findings yield corresponding FPT results for answer-set existence for bounded treewidth (and also degree, for connection-guarded programs) of the input instance. We further show that bounding treewidth alone leads to NP-hardness in the data complexity for connection-guarded programs, which indicates that the two classes are fundamentally different. Finally, we show that for both classes, the data complexity remains as hard as in the general case of ASP.",label-sibling,abstract_found,
10.4204/eptcs.364.10,https://doi.org/10.4204/eptcs.364.10,https://arxiv.org/abs/2208.03094v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2208.03094v1: Knowledge Authoring with Factual English,meta:name=description,abstract_found,
10.5220/0010715100003058,https://doi.org/10.5220/0010715100003058,https://www.scitepress.org/Link.aspx?doi=10.5220/0010715100003058,www.scitepress.org,200.0,2.0,False,,,redirect_ok_abstract_not_found,
10.1007/978-1-4757-3208-5_5,https://doi.org/10.1007/978-1-4757-3208-5_5,https://link.springer.com/chapter/10.1007/978-1-4757-3208-5_5,link.springer.com,200.0,2.0,True,We have used the generic theorem prover Isabelle [181] to implement the non-classical logis we presented. The logical basis of Isabelle is a natural deduction presentation of minimal implicational predicate logic with universal quantification over all higher-types...,meta:name=description,abstract_found,
10.1484/m.art-eb.5.138353,https://doi.org/10.1484/m.art-eb.5.138353,https://www.brepolsonline.net/content/books/10.1484/M.ART-EB.5.138353,www.brepolsonline.net,200.0,1.0,True,"Preview this chapter: Front Matter (""Preface"", ""Table of Contents""), Page 1 of 1 < Previous page | Next page > /docserver/preview/fulltext/10.1484/M.ART-EB.5.105705/M.ART-EB.5.138353-1.gif Hardbound ISBN: 978-90-70419-31-8 E-book ISBN: 978-2-503-56426-5 Book DOI : https://doi.org/10.1484/M.ART-EB.5.105705",selector:div#abstract,abstract_found,
10.4204/eptcs.416.31,https://doi.org/10.4204/eptcs.416.31,https://arxiv.org/abs/2502.09227v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2502.09227v1: Bridging Logic Programming and Deep Learning for Explainability through ILASP,meta:name=description,abstract_found,
10.1002/fsat.3101_6.x,https://doi.org/10.1002/fsat.3101_6.x,https://academic.oup.com/fst/article/31/1/18/7818543,academic.oup.com,403.0,1.0,False,,,http_error,
10.1017/cbo9781139342124.006,https://doi.org/10.1017/cbo9781139342124.006,https://www.cambridge.org/core/books/abs/knowledge-representation-reasoning-and-the-design-of-intelligent-agents/representing-defaults/3B6799B0529E813FE231A0C5B92B6A60,www.cambridge.org,200.0,3.0,True,"Knowledge Representation, Reasoning, and the Design of Intelligent Agents - March 2014",meta:name=description,abstract_found,
10.4204/eptcs.325.27,https://doi.org/10.4204/eptcs.325.27,https://arxiv.org/abs/2009.10249v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2009.10249v1: Dynamic Multi-Agent Path Finding based on Conflict Resolution using Answer Set Programming,meta:name=description,abstract_found,
10.4204/eptcs.416.30,https://doi.org/10.4204/eptcs.416.30,https://arxiv.org/abs/2502.09226v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2502.09226v1: Generating Causally Compliant Counterfactual Explanations using ASP,meta:name=description,abstract_found,
10.1016/0304-3975(88)90037-0,https://doi.org/10.1016/0304-3975(88)90037-0,https://linkinghub.elsevier.com/retrieve/pii/0304397588900370,linkinghub.elsevier.com,200.0,1.0,False,,,redirect_ok_abstract_not_found,
10.1109/tse.2025.3569086/mm1,https://doi.org/10.1109/tse.2025.3569086/mm1,https://ieeexplore.ieee.org/document/10998949/,ieeexplore.ieee.org,200.0,3.0,True,"Recent incidents with autonomous vehicles highlight the need for rigorous testing to ensure safety and robustness. Constructing test scenarios for autonomous driving systems (ADSs), however, is labor-intensive. We propose <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">TARGET</small>, an end-to-end framework that automatically generates test scenarios from traffic rules. To address complexity, we leverage a Large Language Model (LLM) to extract knowledge from traffic rules. To mitigate hallucinations caused by large context during input processing, we introduce a domain-specific language (DSL) designed to be syntactically simple and compositional. This design allows the LLM to learn and generate test scenarios in a modular manner while enabling syntactic and semantic validation for each component. Based on these validated representations, <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">TARGET</small> synthesizes executable scripts to render scenarios in simulation. Evaluated seven ADSs with 284 scenarios derived from 54 traffic rules, <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">TARGET</small> uncovered 610 rule violations, collisions, and other issues. For each violation, <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">TARGET</small> generates scenario recordings and detailed logs, aiding root cause analysis. Two identified issues were confirmed by ADS developers: one linked to an existing bug report and the other to limited ADS functionality.",meta:property=og:description,abstract_found,
10.1017/cbo9781139342124.007,https://doi.org/10.1017/cbo9781139342124.007,https://www.cambridge.org/core/books/abs/knowledge-representation-reasoning-and-the-design-of-intelligent-agents/answerset-programming-paradigm/12D9CB5F668C6A491C31BD6C39BD6262,www.cambridge.org,200.0,3.0,True,"Knowledge Representation, Reasoning, and the Design of Intelligent Agents - March 2014",meta:name=description,abstract_found,
10.4204/eptcs.306.51,https://doi.org/10.4204/eptcs.306.51,https://arxiv.org/abs/1909.09017v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 1909.09017v1: Induction of Non-monotonic Logic Programs To Explain Statistical Learning Models,meta:name=description,abstract_found,
10.23943/princeton/9780691172279.003.0002,https://doi.org/10.23943/princeton/9780691172279.003.0002,https://academic.oup.com/princeton-scholarship-online/book/21049/chapter/180615099,academic.oup.com,403.0,1.0,False,,,http_error,
10.4204/eptcs.364.36,https://doi.org/10.4204/eptcs.364.36,https://arxiv.org/abs/2208.03096v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2208.03096v1: Tools and Methodologies for Verifying Answer Set Programs,meta:name=description,abstract_found,
10.1017/s1471068420000149,https://doi.org/10.1017/s1471068420000149,https://www.cambridge.org/core/journals/theory-and-practice-of-logic-programming/article/introduction-to-the-36th-international-conference-on-logic-programming-special-issue-i/EBBDEE348A3124334B9C367CD1DEE549,www.cambridge.org,200.0,2.0,True,Introduction to the 36th International Conference on Logic Programming Special Issue I - Volume 20 Issue 5,meta:name=description,abstract_found,
10.4204/eptcs.345.42,https://doi.org/10.4204/eptcs.345.42,https://arxiv.org/abs/2109.08279v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2109.08279v1: Automata Techniques for Temporal Answer Set Programming,meta:name=description,abstract_found,
10.4204/eptcs.385.7,https://doi.org/10.4204/eptcs.385.7,https://arxiv.org/abs/2308.15883v1,arxiv.org,200.0,2.0,True,"Abstract page for arXiv paper 2308.15883v1: ""Would life be more interesting if I were in AI?"" Answering Counterfactuals based on Probabilistic Inductive Logic Programming",meta:name=description,abstract_found,
10.1007/3-540-16492-8_88,https://doi.org/10.1007/3-540-16492-8_88,https://link.springer.com/chapter/10.1007/3-540-16492-8_88,link.springer.com,200.0,2.0,True,In this paper we report on a series of experiments involving the use of various dialects of parallel logic programming to express and control parallelism. The central goal of these experiments was to explore the possibility of writing numeric code for multiprocessors...,meta:name=description,abstract_found,
10.4204/eptcs.306.40,https://doi.org/10.4204/eptcs.306.40,https://arxiv.org/abs/1909.08256v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 1909.08256v1: A Temporal Module for Logical Frameworks,meta:name=description,abstract_found,
10.4204/eptcs.345.13,https://doi.org/10.4204/eptcs.345.13,https://arxiv.org/abs/2109.08284v1,arxiv.org,200.0,2.0,True,"Answer Set Programming (ASP) is a successful method for solving a range of real-world applications. Despite the availability of fast ASP solvers, computing answer sets demands a very large...",meta:name=twitter:description,abstract_found,
10.1109/apsec.2015.16,https://doi.org/10.1109/apsec.2015.16,https://ieeexplore.ieee.org/document/7467278/,ieeexplore.ieee.org,200.0,2.0,True,"Model checking is a mainstream method for formal verification of communicating sequential processes (CSP). Existing CSP Model Checkers are incapable of verifying multiple properties concurrently in one run of a model checker. In addition, the properties to be verified are described with CSP in most model checkers, which is good for refinement checking, but leads to limited description power and weak generality. In order to tackle the two problems, answer set programming(ASP), which is completely free of sequential dependencies, is used to construct a CSP bounded model checking framework, where the CSP model checking problem is turned into a computation problem of answer sets. CTL is extended with events to describe the properties to be verified. In addition, preprocessing technique of properties is proposed for the sake of reducing the expense spending on replicated verification of the same sub formulas. An ASP based description system is constructed for complete description of various CSP processes and automatic generation of parallel processes. We integrated all the methods into a CSP model checker - ACSPChecker. The feasibility and efficiency of our methods are illustrated by the experiments with a classic concurrency problem - dining philosophers problem.",meta:property=og:description,abstract_found,
10.4204/eptcs.385.5,https://doi.org/10.4204/eptcs.385.5,https://arxiv.org/abs/2308.15880v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2308.15880v1: A Dataflow Analysis for Comparing and Reordering Predicate Arguments,meta:name=description,abstract_found,
10.4204/eptcs.439.22,https://doi.org/10.4204/eptcs.439.22,https://arxiv.org/abs/2507.10781v2,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2507.10781v2: Reasoning about Medical Triage Optimization with Logic Programming,meta:name=description,abstract_found,
10.4204/eptcs.439.33,https://doi.org/10.4204/eptcs.439.33,https://arxiv.org/abs/2601.03850v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2601.03850v1: Investigating the Grounding Bottleneck for a Large-Scale Configuration Problem: Existing Tools and Constraint-Aware Guessing,meta:name=description,abstract_found,
10.1093/oso/9780198862536.003.0021,https://doi.org/10.1093/oso/9780198862536.003.0021,https://academic.oup.com/book/41231/chapter/350717690,academic.oup.com,403.0,1.0,False,,,http_error,
10.4204/eptcs.306.60,https://doi.org/10.4204/eptcs.306.60,https://arxiv.org/abs/1909.08263v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 1909.08263v1: Distributed Answer Set Coloring: Stable Models Computation via Graph Coloring,meta:name=description,abstract_found,
10.4204/eptcs.306.30,https://doi.org/10.4204/eptcs.306.30,https://arxiv.org/abs/1909.08247v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 1909.08247v1: Google vs IBM: A Constraint Solving Challenge on the Job-Shop Scheduling Problem,meta:name=description,abstract_found,
10.1017/cbo9780511814105.011,https://doi.org/10.1017/cbo9780511814105.011,https://www.cambridge.org/core/books/abs/reactive-systems/timed-automata/1C7822853342F67A6982F8ABE3E3616E,www.cambridge.org,200.0,3.0,True,"The model of timed automata, introduced by Alur and Dill (1990, 1994), has by now established itself as a classical formalism for modelling real-time systems with a dense representation of time. The development of the timed-automata formalism was carried out largely in parallel with – and independently of – the work on timed extensions of process algebras. Roughly speaking, whereas the development of timed process algebras was driven by their (relative) expressiveness, their revealing of new behavioural equivalences and their axiomatizations, the development of the timed-automata formalism was largely driven by the goal of obtaining decidability results for several important properties (Dill, 1989). By now, real-time model checking tools such U ppaal (Behrmann, David and Larsen, 2004) and K ronos (Bozga et al ., 1998) are based on the timed-automata formalism and on the substantial body of research on this model that has been targeted towards transforming the early decidability results into practically efficient algorithms. Motivation Timed automata are essentially nondeterministic finite automata equipped with a finite number of real-valued clocks, so that transitions can be conditioned on clock values and the performing of a particular transition can reset selected clocks. We shall now introduce the formalism intuitively, showing how the light switch from the start of the previous chapter can be described using the formalism of timed automata without recourse to assumptions such as the urgency of some actions or maximal progress. Graphically, we could model the light switch as in Figure 10.1.",selector:div.abstract,abstract_found,
10.4204/eptcs.345.23,https://doi.org/10.4204/eptcs.345.23,https://arxiv.org/abs/2109.08287v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2109.08287v1: APIA: An Architecture for Policy-Aware Intentional Agents,meta:name=description,abstract_found,
10.4204/eptcs.306.54,https://doi.org/10.4204/eptcs.306.54,https://arxiv.org/abs/1909.08259v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 1909.08259v1: Design of a Solver for Multi-Agent Epistemic Planning,meta:name=description,abstract_found,
10.4204/eptcs.416.32,https://doi.org/10.4204/eptcs.416.32,https://arxiv.org/abs/2502.09228v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2502.09228v1: Computational methods for Dynamic Answer Set Programming,meta:name=description,abstract_found,
10.4204/eptcs.345.44,https://doi.org/10.4204/eptcs.345.44,https://arxiv.org/abs/2109.08681v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2109.08681v1: Graph Based Answer Set Programming Solver Systems,meta:name=description,abstract_found,
10.4204/eptcs.325.8,https://doi.org/10.4204/eptcs.325.8,https://arxiv.org/abs/2009.10236v1,arxiv.org,200.0,2.0,True,Hybrid Answer Set Programming (Hybrid ASP) is an extension of Answer Set Programming (ASP) that allows ASP-like rules to interact with outside sources. The Splitting Set Theorem is an important...,meta:name=twitter:description,abstract_found,
10.4204/eptcs.416.35,https://doi.org/10.4204/eptcs.416.35,https://arxiv.org/abs/2502.09232v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2502.09232v1: Logical foundations of Smart Contracts,meta:name=description,abstract_found,
10.1007/978-3-319-61660-5_4,https://doi.org/10.1007/978-3-319-61660-5_4,https://link.springer.com/chapter/10.1007/978-3-319-61660-5_4,link.springer.com,200.0,2.0,True,Argumentation has gained popularity in AI in recent years to support several activities and forms of reasoning. This talk will trace back the logic programming and non-monotonic reasoning origins of two well-known argumentation formalisms in AI (namely abstract...,meta:name=description,abstract_found,
10.1007/978-3-032-04848-6_13,https://doi.org/10.1007/978-3-032-04848-6_13,https://link.springer.com/chapter/10.1007/978-3-032-04848-6_13,link.springer.com,200.0,2.0,True,"We propose an approach where human-designed logic programs guide the systematic exploration of concepts and statements using Large Language Models (LLMs). Undefined facts within these programs, (seen as abducibles), are expanded into Prolog clauses by extracting...",meta:name=description,abstract_found,
10.1007/978-981-19-6309-4_6,https://doi.org/10.1007/978-981-19-6309-4_6,https://link.springer.com/chapter/10.1007/978-981-19-6309-4_6,link.springer.com,200.0,2.0,True,"This chapter introduces knowledge-oriented Petri net that can represent both the interaction of multiple agents and their epistemic evolution, while the latter is closely related to the privacy and security of multi-agent systems. Some design requirements of privacy...",meta:name=description,abstract_found,
10.4204/eptcs.439.14,https://doi.org/10.4204/eptcs.439.14,https://arxiv.org/html/2601.00047#EPTCS439.14,arxiv.org,200.0,2.0,False,,,redirect_ok_abstract_not_found,
10.3233/ia-240031,https://doi.org/10.3233/ia-240031,https://content.iospress.com/doi/10.3233/IA-240031,content.iospress.com,403.0,2.0,False,,,http_error,
10.1609/aaai.v39i14.33648,https://doi.org/10.1609/aaai.v39i14.33648,https://ojs.aaai.org/index.php/AAAI/article/view/33648,ojs.aaai.org,200.0,1.0,True,"Abstract Approximation fixpoint theory (AFT) is a robust and popular mathematical framework that characterizes many nonmonotonic semantics, where the construction of stable fixpoints, called stable revision, play a central role. Nondeterministic AFT is a recent development that redefines AFT for a nondeterministic setting to capture disjunctive semantics. This theory departs from traditional AFT by introducing distinct definitions, thus raising the question of whether deterministic AFT can be adopted directly to define nondeterministic stable revision. This work proposes such an alternate theory and creates a new way to study disjunctive semantics in terms of normal (non-disjunctive) knowledge bases. To demonstrate the viability of our framework, we show how to capture stable and partial stable models for disjunctive logic programs. We then study the relationships between this alternative theory and the state-of-the-art nondeterministic AFT.",selector:section.abstract,abstract_found,
10.1007/978-3-031-84924-4_7,https://doi.org/10.1007/978-3-031-84924-4_7,https://link.springer.com/chapter/10.1007/978-3-031-84924-4_7,link.springer.com,200.0,2.0,True,"Don’t Starve is a non-linear, real-time survival video game where the player’s objective is to survive as long as possible. The game is challenging because randomly generated situations and events make it hard to survive this game for a long...",meta:name=description,abstract_found,
10.4204/eptcs.416.33,https://doi.org/10.4204/eptcs.416.33,https://arxiv.org/abs/2502.09230v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2502.09230v1: Relating Answer Set Programming and Many-sorted Logics for Formal Verification,meta:name=description,abstract_found,
10.1007/978-0-585-29602-9_6,https://doi.org/10.1007/978-0-585-29602-9_6,https://link.springer.com/chapter/10.1007/978-0-585-29602-9_6,link.springer.com,200.0,2.0,True,"The efficiency of the functioning of automatic control systems is directly related to an increase in the scientific-technological level of designing them. However, up till now the solution of a number of problems in the technical design of automatic control systems...",meta:name=description,abstract_found,
10.4204/eptcs.416.34,https://doi.org/10.4204/eptcs.416.34,https://arxiv.org/abs/2502.09231v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2502.09231v1: Answer Set Counting and its Applications,meta:name=description,abstract_found,
10.1007/s00354-021-00142-2,https://doi.org/10.1007/s00354-021-00142-2,https://link.springer.com/article/10.1007/s00354-021-00142-2,link.springer.com,200.0,2.0,True,Algebraic characterization of logic programs has received increasing attention in recent years. Researchers attempt to exploit connections between linear a,meta:name=description,abstract_found,
10.4204/eptcs.385.26,https://doi.org/10.4204/eptcs.385.26,https://arxiv.org/abs/2308.16309v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2308.16309v1: Inferring Compensatory Kinase Networks in Yeast using Prolog,meta:name=description,abstract_found,
10.4204/eptcs.325.17,https://doi.org/10.4204/eptcs.325.17,https://arxiv.org/abs/2009.10240v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2009.10240v1: Automated Aggregator -- Rewriting with the Counting Aggregate,meta:name=description,abstract_found,
10.4204/eptcs.439.12,https://doi.org/10.4204/eptcs.439.12,https://arxiv.org/abs/2502.07332v2,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 2502.07332v2: The Combined Problem of Online Task Assignment and Lifelong Path Finding in Logistics Warehouses: Rule-Based Systems Matter,meta:name=description,abstract_found,
10.4204/eptcs.306.23,https://doi.org/10.4204/eptcs.306.23,https://arxiv.org/abs/1909.09209v1,arxiv.org,200.0,2.0,True,Abstract page for arXiv paper 1909.09209v1: A Human-Centered Data-Driven Planner-Actor-Critic Architecture via Logic Programming,meta:name=description,abstract_found,
10.1093/logcom/exaf072,https://doi.org/10.1093/logcom/exaf072,https://academic.oup.com/logcom/article/doi/10.1093/logcom/exaf072/8442320,academic.oup.com,403.0,1.0,False,,,http_error,
