row,id,Label,term,tfidf
0,299,1,word__stream data,0.3632465270438331
0,299,1,word__clp,0.3632465270438331
0,299,1,word__clp reasoning,0.3632465270438331
0,299,1,word__tabled clp,0.3632465270438331
0,299,1,word__tabled,0.3632465270438331
0,299,1,word__reasoning stream,0.3632465270438331
0,299,1,word__stream,0.3247665105770945
0,299,1,word__data,0.2637771274501812
0,299,1,word__reasoning,0.18237352928885173
0,299,1,char__bled,0.16226170241838886
0,299,1,char__bled ,0.16226170241838886
0,299,1,char__abled,0.16226170241838886
1,92,5,word__tool modeling,0.26690650385568326
1,92,5,word__programming tool,0.26690650385568326
1,92,5,word__law logic,0.26690650385568326
1,92,5,word__xai law,0.26690650385568326
1,92,5,word__learning legal,0.26690650385568326
1,92,5,word__legal decisions,0.26690650385568326
1,92,5,word__explaining learning,0.26690650385568326
1,92,5,word__modeling explaining,0.26690650385568326
1,92,5,word__xai,0.2503670577440679
1,92,5,word__decisions,0.2386321339751779
1,92,5,word__legal,0.22952981994540622
1,92,5,word__law,0.22952981994540622
